C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,00:00:00,REGULAR,6029752,1350208,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,04:00:00,REGULAR,6029763,1350209,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,08:00:00,REGULAR,6029792,1350247,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,12:00:00,REGULAR,6029922,1350346,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,16:00:00,REGULAR,6030153,1350380,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-29,20:00:00,REGULAR,6030668,1350412,True,2,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,00:00:00,REGULAR,6030805,1350437,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,04:00:00,REGULAR,6030817,1350440,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,08:00:00,REGULAR,6030844,1350470,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,12:00:00,REGULAR,6030966,1350574,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,16:00:00,REGULAR,6031173,1350626,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-30,20:00:00,REGULAR,6031651,1350665,True,3,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,00:00:00,REGULAR,6031784,1350682,True,4,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,04:00:00,REGULAR,6031791,1350685,True,4,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,08:00:00,REGULAR,6031821,1350727,True,4,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,12:00:00,REGULAR,6031937,1350822,True,4,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,16:00:00,REGULAR,6032263,1350887,True,4,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-31,20:00:00,REGULAR,6032656,1350935,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,00:00:00,REGULAR,1117813,4176607,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,04:00:00,REGULAR,1117818,4176631,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,08:00:00,REGULAR,1117821,4176676,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,12:00:00,REGULAR,1117862,4176842,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,1117934,4177054,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,1118003,4177278,True,5,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,1118074,4177382,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,1118079,4177391,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,1118084,4177421,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,1118106,4177549,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,1118178,4177733,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,1118244,4177924,True,6,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,1118285,4178021,True,0,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,1118286,4178025,True,0,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,1118295,4178194,True,0,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,1118355,4178730,True,0,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,1118459,4178977,True,0,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,1118677,4179430,True,0,
