C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,04:00:00,REGULAR,0006031791,0001350685                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,08:00:00,REGULAR,0006031821,0001350727                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,12:00:00,REGULAR,0006031937,0001350822                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,16:00:00,REGULAR,0006032263,0001350887                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,20:00:00,REGULAR,0006032656,0001350935                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0001117813,0004176607                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0001117818,0004176631                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0001117821,0004176676                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0001117862,0004176842                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0001117934,0004177054                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0001118003,0004177278                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0001118074,0004177382                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0001118079,0004177391                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0001118084,0004177421                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0001118106,0004177549                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0001118178,0004177733                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0001118244,0004177924                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0001118285,0004178021                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0001118286,0004178025                                            
